loan_id,origination_date,original_balance,loan_term_months,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,property_type,occupancy_type
42,2018-01,139946.72845447127,360,5.940222219180069,600-650,LTV_90-100,DTI_63+,TX,PURCHASE,MULTI_FAMILY,PRIMARY
43,2018-01,124251.57042658728,240,5.949998686544717,700-750,LTV_0-60,DTI_50-63,CA,PURCHASE,MULTI_FAMILY,INVESTMENT
44,2018-01,409235.61667898647,240,4.049999685858946,750+,LTV_60-70,DTI_63+,IL,REFINANCE,CONDO,INVESTMENT
45,2018-01,317802.3076196912,360,3.522304430273559,600-650,LTV_80-90,DTI_50-63,GA,PURCHASE,CONDO,INVESTMENT
46,2018-01,141006.38562658976,360,5.069272321033838,650-700,LTV_90-100,DTI_0-36,FL,REFINANCE,SINGLE_FAMILY,SECOND_HOME
47,2018-01,185357.33919027582,360,5.825730971192026,750+,LTV_0-60,DTI_0-36,NC,REFINANCE,SINGLE_FAMILY,SECOND_HOME
48,2018-01,451193.79879393394,180,5.527523833079382,0-600,LTV_90-100,DTI_0-36,IL,REFINANCE,MULTI_FAMILY,PRIMARY
49,2018-01,491583.00281644164,240,5.277477120529301,600-650,LTV_60-70,DTI_0-36,MI,PURCHASE,SINGLE_FAMILY,INVESTMENT
50,2018-01,199023.90811195457,360,2.812631478714229,0-600,LTV_90-100,DTI_50-63,FL,REFINANCE,SINGLE_FAMILY,SECOND_HOME
51,2018-01,100796.8540876281,240,6.093698089267651,750+,LTV_0-60,DTI_50-63,IL,PURCHASE,CONDO,INVESTMENT
52,2018-01,437330.46711515327,180,4.925473299897701,750+,LTV_0-60,DTI_36-50,NC,REFINANCE,SINGLE_FAMILY,PRIMARY
53,2018-01,265988.4861600313,180,6.063888381084155,600-650,LTV_80-90,DTI_36-50,MI,REFINANCE,SINGLE_FAMILY,PRIMARY
54,2018-01,121339.19879555907,240,4.773821712763305,700-750,LTV_0-60,DTI_36-50,NY,REFINANCE,MULTI_FAMILY,PRIMARY
55,2018-01,151174.76980471326,360,4.237535412125905,0-600,LTV_90-100,DTI_36-50,MI,PURCHASE,CONDO,SECOND_HOME
56,2018-01,404978.7834699474,360,3.1300101393199715,600-650,LTV_80-90,DTI_50-63,TX,PURCHASE,CONDO,PRIMARY
57,2018-01,463373.8207517501,360,4.840345271171451,650-700,LTV_60-70,DTI_50-63,NY,PURCHASE,MULTI_FAMILY,SECOND_HOME
58,2018-01,395626.790375749,180,3.88732339862477,750+,LTV_70-80,DTI_63+,GA,REFINANCE,MULTI_FAMILY,INVESTMENT
59,2018-01,402985.77818028704,180,3.9753617463215467,600-650,LTV_60-70,DTI_63+,TX,PURCHASE,MULTI_FAMILY,PRIMARY
60,2018-01,309434.59408858116,360,3.5912993634686474,700-750,LTV_0-60,DTI_63+,IL,PURCHASE,CONDO,INVESTMENT
61,2018-01,326275.2688564023,360,3.413361921198341,0-600,LTV_90-100,DTI_36-50,CA,REFINANCE,SINGLE_FAMILY,PRIMARY
62,2018-01,172473.3116200331,180,5.613767016199205,650-700,LTV_0-60,DTI_0-36,OH,PURCHASE,SINGLE_FAMILY,INVESTMENT
63,2018-01,326428.65857926605,180,6.257264722296718,650-700,LTV_70-80,DTI_50-63,FL,REFINANCE,MULTI_FAMILY,INVESTMENT
64,2018-01,429309.28507201205,180,5.280953463150058,750+,LTV_70-80,DTI_63+,GA,REFINANCE,CONDO,INVESTMENT
65,2018-01,107354.45686063891,240,4.820333447022524,700-750,LTV_80-90,DTI_0-36,CA,REFINANCE,MULTI_FAMILY,INVESTMENT
66,2018-01,105158.98791581017,360,5.201497033807499,700-750,LTV_70-80,DTI_36-50,CA,PURCHASE,SINGLE_FAMILY,SECOND_HOME
67,2018-01,464535.6760314523,360,2.6046705891336663,700-750,LTV_70-80,DTI_50-63,OH,REFINANCE,MULTI_FAMILY,PRIMARY
68,2018-01,476352.0678236817,240,3.1217292071543516,600-650,LTV_90-100,DTI_50-63,PA,REFINANCE,MULTI_FAMILY,INVESTMENT
69,2018-01,139203.07391229644,360,2.720329307851907,750+,LTV_0-60,DTI_50-63,TX,PURCHASE,SINGLE_FAMILY,INVESTMENT
70,2018-01,259733.03207968903,180,4.548364346462596,750+,LTV_80-90,DTI_63+,TX,PURCHASE,MULTI_FAMILY,PRIMARY
71,2018-01,297808.4500481632,240,3.1084765336333615,700-750,LTV_0-60,DTI_0-36,GA,PURCHASE,SINGLE_FAMILY,INVESTMENT
72,2018-01,454515.28658228705,180,3.2568558563163745,750+,LTV_60-70,DTI_50-63,OH,REFINANCE,SINGLE_FAMILY,SECOND_HOME
73,2018-01,260717.2540437698,180,5.389139857557179,750+,LTV_0-60,DTI_36-50,OH,PURCHASE,MULTI_FAMILY,SECOND_HOME
74,2018-01,308217.5349219434,360,4.703324417121468,700-750,LTV_0-60,DTI_0-36,CA,PURCHASE,MULTI_FAMILY,INVESTMENT
75,2018-01,315033.8502770263,240,3.4246014873357216,0-600,LTV_0-60,DTI_63+,FL,PURCHASE,SINGLE_FAMILY,INVESTMENT
76,2018-01,405406.3374672849,180,3.0434126968734603,750+,LTV_90-100,DTI_36-50,FL,PURCHASE,SINGLE_FAMILY,SECOND_HOME
77,2018-01,494307.29983429646,240,6.4564214624834175,0-600,LTV_60-70,DTI_50-63,CA,PURCHASE,CONDO,SECOND_HOME
78,2018-01,407898.6491428349,180,7.377051838423726,650-700,LTV_80-90,DTI_63+,OH,REFINANCE,CONDO,INVESTMENT
79,2018-01,179022.36227139132,360,6.525871986801884,700-750,LTV_90-100,DTI_63+,NC,REFINANCE,CONDO,INVESTMENT
80,2018-01,306651.03674171015,360,3.923001911523405,600-650,LTV_60-70,DTI_63+,OH,PURCHASE,MULTI_FAMILY,SECOND_HOME
81,2018-01,176782.17559829028,360,6.096172095220734,750+,LTV_90-100,DTI_0-36,OH,REFINANCE,CONDO,PRIMARY
82,2018-01,278330.21993080643,360,6.583276216008118,600-650,LTV_0-60,DTI_63+,FL,REFINANCE,SINGLE_FAMILY,SECOND_HOME
83,2018-01,383868.53740180976,180,7.418557916045759,600-650,LTV_60-70,DTI_36-50,MI,PURCHASE,SINGLE_FAMILY,SECOND_HOME
84,2018-01,144773.8312539157,240,5.547529455024916,700-750,LTV_60-70,DTI_0-36,GA,PURCHASE,CONDO,SECOND_HOME
85,2018-01,157125.72178914695,240,5.399147880238625,0-600,LTV_80-90,DTI_0-36,OH,REFINANCE,MULTI_FAMILY,INVESTMENT
86,2018-01,152564.95314210738,360,3.8124250395029553,600-650,LTV_80-90,DTI_36-50,OH,PURCHASE,MULTI_FAMILY,INVESTMENT
87,2018-01,278530.5439946245,180,6.13509263507067,650-700,LTV_70-80,DTI_63+,MI,PURCHASE,CONDO,SECOND_HOME
88,2018-01,236384.7894571954,180,7.488361316323296,750+,LTV_90-100,DTI_36-50,MI,PURCHASE,SINGLE_FAMILY,SECOND_HOME
89,2018-01,339072.9342093836,180,6.848479424258169,650-700,LTV_0-60,DTI_63+,MI,PURCHASE,CONDO,INVESTMENT
90,2018-01,465933.97999875125,180,3.558571860739854,650-700,LTV_80-90,DTI_0-36,NC,PURCHASE,CONDO,INVESTMENT
91,2018-01,404851.84818012983,240,7.180882820832526,700-750,LTV_70-80,DTI_0-36,TX,PURCHASE,SINGLE_FAMILY,INVESTMENT
92,2018-01,161766.3030156852,240,5.6338525970861095,650-700,LTV_60-70,DTI_36-50,MI,REFINANCE,MULTI_FAMILY,PRIMARY
93,2018-01,296946.8194804996,180,3.4615788639217526,600-650,LTV_70-80,DTI_0-36,PA,REFINANCE,MULTI_FAMILY,INVESTMENT
94,2018-01,326743.3733176379,180,7.161334419604861,0-600,LTV_60-70,DTI_63+,IL,REFINANCE,CONDO,SECOND_HOME
95,2018-01,368944.74317287776,360,4.14380063777225,700-750,LTV_70-80,DTI_0-36,OH,PURCHASE,MULTI_FAMILY,INVESTMENT
96,2018-01,286549.83780181943,180,4.308330415975214,650-700,LTV_60-70,DTI_50-63,FL,REFINANCE,CONDO,INVESTMENT
97,2018-01,300465.0925829961,240,4.418862289887047,700-750,LTV_90-100,DTI_50-63,MI,REFINANCE,CONDO,PRIMARY
98,2018-01,226166.55650347337,240,5.912996398906527,600-650,LTV_0-60,DTI_0-36,TX,PURCHASE,SINGLE_FAMILY,PRIMARY
99,2018-01,129234.0364104601,180,3.8683319246072885,650-700,LTV_80-90,DTI_63+,GA,PURCHASE,MULTI_FAMILY,SECOND_HOME
100,2018-01,449667.56859282736,240,6.039704578699974,0-600,LTV_60-70,DTI_50-63,PA,REFINANCE,CONDO,PRIMARY
101,2018-01,175399.94111822447,360,6.524834169408427,600-650,LTV_70-80,DTI_63+,PA,PURCHASE,CONDO,SECOND_HOME
102,2018-01,412773.0319152835,180,3.476794804243042,700-750,LTV_80-90,DTI_63+,NC,REFINANCE,CONDO,INVESTMENT
103,2018-01,323886.9743713254,180,4.295003840396319,600-650,LTV_90-100,DTI_50-63,NY,REFINANCE,MULTI_FAMILY,SECOND_HOME
104,2018-01,262562.5147203982,360,6.756305836810301,700-750,LTV_70-80,DTI_0-36,MI,REFINANCE,MULTI_FAMILY,PRIMARY
105,2018-01,339553.23790292686,240,3.8720586050018757,0-600,LTV_90-100,DTI_0-36,NY,REFINANCE,MULTI_FAMILY,SECOND_HOME
106,2018-01,409598.0349176036,360,2.760362031106349,750+,LTV_70-80,DTI_36-50,CA,PURCHASE,SINGLE_FAMILY,INVESTMENT
107,2018-01,144654.37175842465,240,3.0770147965720405,600-650,LTV_0-60,DTI_36-50,TX,REFINANCE,MULTI_FAMILY,SECOND_HOME
108,2018-01,473928.8161775205,240,6.674783875260585,600-650,LTV_80-90,DTI_0-36,NC,REFINANCE,CONDO,PRIMARY
109,2018-01,334707.1631378365,240,4.728649104514346,700-750,LTV_80-90,DTI_36-50,GA,PURCHASE,MULTI_FAMILY,PRIMARY
110,2018-01,349583.8037728057,240,5.630490509935234,700-750,LTV_60-70,DTI_63+,MI,PURCHASE,SINGLE_FAMILY,PRIMARY
111,2018-01,189823.78770755854,240,4.827528332637399,650-700,LTV_80-90,DTI_0-36,NY,PURCHASE,CONDO,PRIMARY
112,2018-01,414267.65995112766,360,4.128897718728091,600-650,LTV_90-100,DTI_0-36,MI,REFINANCE,CONDO,PRIMARY
113,2018-01,343078.36139904323,180,4.513356041269989,0-600,LTV_80-90,DTI_0-36,PA,REFINANCE,SINGLE_FAMILY,INVESTMENT
114,2018-01,266309.92039586056,180,4.845887480463858,700-750,LTV_60-70,DTI_63+,MI,REFINANCE,SINGLE_FAMILY,SECOND_HOME
115,2018-01,484285.90066792694,240,4.102434488277736,700-750,LTV_70-80,DTI_0-36,GA,PURCHASE,CONDO,PRIMARY
116,2018-01,366966.2122135324,180,2.563827132589487,0-600,LTV_90-100,DTI_63+,IL,PURCHASE,SINGLE_FAMILY,SECOND_HOME
117,2018-01,368711.7081019464,360,4.471705731753321,650-700,LTV_80-90,DTI_0-36,FL,REFINANCE,CONDO,PRIMARY
118,2018-01,322210.02722508786,240,6.198108423264975,650-700,LTV_80-90,DTI_50-63,IL,PURCHASE,CONDO,SECOND_HOME
119,2018-01,110296.96389888648,180,4.205239364153117,750+,LTV_60-70,DTI_50-63,PA,REFINANCE,SINGLE_FAMILY,PRIMARY
120,2018-01,179252.29672943082,360,2.546004488126897,650-700,LTV_60-70,DTI_50-63,OH,REFINANCE,CONDO,PRIMARY
121,2018-01,107571.05620458539,180,2.679463755944662,650-700,LTV_90-100,DTI_36-50,MI,REFINANCE,CONDO,PRIMARY
122,2018-01,273385.47989324946,360,4.483638002341929,700-750,LTV_80-90,DTI_63+,CA,REFINANCE,SINGLE_FAMILY,PRIMARY
123,2018-01,485527.0644752722,240,5.194904372250603,650-700,LTV_80-90,DTI_0-36,IL,REFINANCE,SINGLE_FAMILY,INVESTMENT
124,2018-01,375458.020905756,360,7.393270406689824,700-750,LTV_60-70,DTI_63+,GA,PURCHASE,SINGLE_FAMILY,PRIMARY
125,2018-01,383470.68798620277,360,3.5742730321249905,600-650,LTV_0-60,DTI_36-50,PA,REFINANCE,SINGLE_FAMILY,PRIMARY
126,2018-01,381565.3704512431,360,5.754013450716898,700-750,LTV_90-100,DTI_0-36,PA,PURCHASE,SINGLE_FAMILY,PRIMARY
127,2018-01,448602.8853962539,240,2.6518978997723126,750+,LTV_90-100,DTI_63+,MI,REFINANCE,CONDO,SECOND_HOME
128,2018-01,414787.4593746969,240,3.081742249287019,750+,LTV_70-80,DTI_50-63,TX,PURCHASE,MULTI_FAMILY,INVESTMENT
129,2018-01,142366.27585150942,360,2.5932329320739145,650-700,LTV_70-80,DTI_0-36,IL,REFINANCE,MULTI_FAMILY,INVESTMENT
130,2018-01,407186.70312392205,240,7.303640441141216,700-750,LTV_90-100,DTI_50-63,IL,PURCHASE,MULTI_FAMILY,PRIMARY
131,2018-01,148311.8089730315,180,4.6305763941538975,700-750,LTV_60-70,DTI_0-36,MI,REFINANCE,CONDO,PRIMARY
132,2018-01,116203.66917652874,360,3.114555912711225,700-750,LTV_90-100,DTI_0-36,GA,REFINANCE,MULTI_FAMILY,SECOND_HOME
133,2018-01,417374.6327549446,180,7.074649683146413,650-700,LTV_70-80,DTI_50-63,NY,PURCHASE,MULTI_FAMILY,SECOND_HOME
134,2018-01,339425.740063324,240,5.014215309995434,650-700,LTV_80-90,DTI_50-63,GA,REFINANCE,MULTI_FAMILY,INVESTMENT
135,2018-01,167292.33728147324,240,5.969226931361332,0-600,LTV_90-100,DTI_63+,PA,PURCHASE,SINGLE_FAMILY,PRIMARY
136,2018-01,226003.3100759096,360,5.377747539155516,650-700,LTV_60-70,DTI_36-50,FL,REFINANCE,CONDO,INVESTMENT
137,2018-01,195561.87826703064,180,2.7091081189323267,750+,LTV_80-90,DTI_50-63,NC,REFINANCE,MULTI_FAMILY,SECOND_HOME
138,2018-01,300578.9679366691,180,5.1041436527037085,700-750,LTV_70-80,DTI_50-63,MI,REFINANCE,SINGLE_FAMILY,PRIMARY
139,2018-01,461676.4830209712,180,5.510843846944416,650-700,LTV_0-60,DTI_0-36,CA,PURCHASE,MULTI_FAMILY,PRIMARY
140,2018-01,386590.50505686674,360,4.432468614319569,0-600,LTV_70-80,DTI_50-63,OH,REFINANCE,CONDO,INVESTMENT
141,2018-01,313949.1023035021,180,6.8829905941750935,0-600,LTV_0-60,DTI_50-63,FL,PURCHASE,CONDO,SECOND_HOME
142,2018-01,368389.883794314,240,6.26968842220712,700-750,LTV_0-60,DTI_36-50,CA,REFINANCE,CONDO,PRIMARY
143,2018-01,386425.22136782325,360,4.115970326621681,700-750,LTV_0-60,DTI_63+,OH,REFINANCE,CONDO,PRIMARY
144,2018-01,284273.9893928535,240,6.954120657553138,650-700,LTV_90-100,DTI_36-50,FL,PURCHASE,CONDO,SECOND_HOME
145,2018-01,117561.8454522549,360,5.768493464525396,700-750,LTV_90-100,DTI_36-50,MI,PURCHASE,SINGLE_FAMILY,PRIMARY
146,2018-01,412958.32345778367,180,5.153753011940712,600-650,LTV_90-100,DTI_50-63,GA,REFINANCE,MULTI_FAMILY,SECOND_HOME
147,2018-01,145802.47858759257,180,4.504226178267395,650-700,LTV_80-90,DTI_63+,NY,PURCHASE,CONDO,INVESTMENT
148,2018-01,436566.57441014,240,5.737234618756241,750+,LTV_0-60,DTI_50-63,NC,REFINANCE,MULTI_FAMILY,SECOND_HOME
149,2018-01,308639.80519644864,240,7.166382061895334,750+,LTV_90-100,DTI_0-36,IL,REFINANCE,SINGLE_FAMILY,SECOND_HOME
150,2018-01,465467.83897708775,360,4.851419681316184,750+,LTV_80-90,DTI_36-50,GA,REFINANCE,CONDO,PRIMARY
151,2018-01,104628.8795021081,180,3.997963277926078,750+,LTV_0-60,DTI_63+,IL,REFINANCE,SINGLE_FAMILY,INVESTMENT
152,2018-01,294578.644676419,240,5.6260852932642615,700-750,LTV_0-60,DTI_63+,OH,REFINANCE,CONDO,PRIMARY
153,2018-01,413624.7119313915,360,5.6125793420635794,600-650,LTV_90-100,DTI_36-50,GA,PURCHASE,SINGLE_FAMILY,SECOND_HOME
154,2018-01,302414.50809099234,180,4.182052735916346,700-750,LTV_60-70,DTI_0-36,NY,PURCHASE,CONDO,PRIMARY
155,2018-01,220275.62705084408,240,5.253716404455361,600-650,LTV_0-60,DTI_63+,CA,REFINANCE,MULTI_FAMILY,SECOND_HOME
156,2018-01,128968.92514427392,360,3.9763031504298696,700-750,LTV_90-100,DTI_0-36,GA,PURCHASE,CONDO,SECOND_HOME
157,2018-01,126879.0283009495,360,3.765760627448087,0-600,LTV_90-100,DTI_63+,NC,PURCHASE,SINGLE_FAMILY,PRIMARY
158,2018-01,443891.513400893,240,6.000941296470265,600-650,LTV_0-60,DTI_0-36,PA,PURCHASE,CONDO,PRIMARY
159,2018-01,216297.54635626957,180,5.573854765781311,650-700,LTV_80-90,DTI_36-50,NC,REFINANCE,SINGLE_FAMILY,INVESTMENT
160,2018-01,206217.67392129655,360,5.359348446858661,650-700,LTV_0-60,DTI_63+,FL,PURCHASE,MULTI_FAMILY,PRIMARY
161,2018-01,207137.96822356555,360,6.756289243498037,750+,LTV_80-90,DTI_36-50,NY,REFINANCE,MULTI_FAMILY,PRIMARY
162,2018-01,240486.80785539522,180,6.6861999975772965,750+,LTV_0-60,DTI_36-50,MI,REFINANCE,MULTI_FAMILY,SECOND_HOME
163,2018-01,302600.48041477014,360,2.9290538585471944,700-750,LTV_0-60,DTI_63+,TX,REFINANCE,SINGLE_FAMILY,INVESTMENT
164,2018-01,392643.17774740956,360,3.784489030222816,700-750,LTV_0-60,DTI_36-50,GA,REFINANCE,CONDO,SECOND_HOME
165,2018-01,185901.4663300331,240,6.672368717313142,700-750,LTV_90-100,DTI_63+,NY,REFINANCE,CONDO,INVESTMENT
166,2018-01,257915.00366828556,240,6.2208549859140945,700-750,LTV_60-70,DTI_36-50,IL,REFINANCE,MULTI_FAMILY,INVESTMENT
167,2018-01,474857.98672604875,360,3.335208906690763,600-650,LTV_80-90,DTI_0-36,CA,REFINANCE,MULTI_FAMILY,SECOND_HOME
168,2018-01,418034.9842641038,180,2.5663427043043754,600-650,LTV_60-70,DTI_36-50,IL,REFINANCE,MULTI_FAMILY,SECOND_HOME
169,2018-01,112314.62754429864,360,6.119013883152617,650-700,LTV_90-100,DTI_0-36,MI,REFINANCE,SINGLE_FAMILY,INVESTMENT
170,2018-01,239228.14834445604,240,4.232504436828725,650-700,LTV_90-100,DTI_0-36,TX,PURCHASE,SINGLE_FAMILY,PRIMARY
171,2018-01,165868.10500292204,240,5.32908996429734,700-750,LTV_90-100,DTI_0-36,PA,PURCHASE,SINGLE_FAMILY,INVESTMENT
172,2018-01,414320.1860751898,180,3.9812787665839204,600-650,LTV_80-90,DTI_36-50,NY,PURCHASE,MULTI_FAMILY,PRIMARY
173,2018-01,301113.48430878867,180,5.606000723020911,0-600,LTV_60-70,DTI_0-36,FL,REFINANCE,MULTI_FAMILY,INVESTMENT
174,2018-02,175258.7708837636,240,6.94004423001319,650-700,LTV_0-60,DTI_63+,PA,PURCHASE,MULTI_FAMILY,PRIMARY
175,2018-02,345484.8727416912,360,5.6181297364863205,0-600,LTV_90-100,DTI_0-36,MI,PURCHASE,MULTI_FAMILY,SECOND_HOME
176,2018-02,271728.4667750821,360,2.771830892200919,600-650,LTV_90-100,DTI_63+,NC,PURCHASE,SINGLE_FAMILY,INVESTMENT
177,2018-02,298670.90943109104,360,4.536774058147249,0-600,LTV_70-80,DTI_36-50,IL,PURCHASE,MULTI_FAMILY,SECOND_HOME
178,2018-02,385942.38968016364,360,6.140522461838712,750+,LTV_0-60,DTI_0-36,IL,REFINANCE,MULTI_FAMILY,SECOND_HOME
179,2018-02,418279.6130685949,360,3.704017560773095,650-700,LTV_0-60,DTI_50-63,PA,REFINANCE,SINGLE_FAMILY,SECOND_HOME
180,2018-02,307162.86425611447,240,6.0219303925868815,650-700,LTV_90-100,DTI_63+,GA,PURCHASE,MULTI_FAMILY,PRIMARY
181,2018-02,361722.5286136224,360,2.9001628488296833,600-650,LTV_0-60,DTI_63+,NY,REFINANCE,MULTI_FAMILY,SECOND_HOME
182,2018-02,350975.6030728604,240,5.3309299215868755,650-700,LTV_90-100,DTI_63+,CA,REFINANCE,MULTI_FAMILY,INVESTMENT
183,2018-02,173425.29797893076,240,4.623219856545248,600-650,LTV_0-60,DTI_36-50,IL,PURCHASE,MULTI_FAMILY,INVESTMENT
184,2018-02,136234.1430184407,240,3.0671371337292075,700-750,LTV_0-60,DTI_0-36,CA,REFINANCE,CONDO,INVESTMENT
185,2018-02,186217.31404181814,360,4.598273724295026,600-650,LTV_90-100,DTI_63+,FL,PURCHASE,MULTI_FAMILY,INVESTMENT
186,2018-02,203900.37444103032,360,5.2574514767566844,600-650,LTV_0-60,DTI_63+,IL,PURCHASE,MULTI_FAMILY,SECOND_HOME
187,2018-02,311223.36875684984,240,4.556136813158302,600-650,LTV_90-100,DTI_0-36,GA,PURCHASE,MULTI_FAMILY,SECOND_HOME
188,2018-02,218797.95645576657,180,4.302059031756391,650-700,LTV_90-100,DTI_0-36,PA,REFINANCE,MULTI_FAMILY,SECOND_HOME
189,2018-02,413714.3086961875,240,5.834333180602796,750+,LTV_0-60,DTI_50-63,TX,REFINANCE,CONDO,PRIMARY
190,2018-02,494545.16067875247,360,5.1101170883217435,0-600,LTV_80-90,DTI_36-50,PA,PURCHASE,CONDO,SECOND_HOME
191,2018-02,308508.32275674766,180,7.106987940000982,650-700,LTV_90-100,DTI_36-50,IL,REFINANCE,SINGLE_FAMILY,INVESTMENT
192,2018-02,399996.1728566814,180,3.877540099659976,0-600,LTV_90-100,DTI_50-63,PA,REFINANCE,CONDO,PRIMARY
